시장/마트 번호,시장/마트 이름,품목 이름,가격(원),년도-월,점검일자,시장유형 구분(시장/마트) 코드,시장유형 구분(시장/마트) 이름,자치구 이름
1,통인시장,사과(부사 300g),2000,18-Oct,2018-10-04,1,전통시장,종로구
1,통인시장,배(신고 600g),3000,18-Oct,2018-10-04,1,전통시장,종로구
1,통인시장,배추(중간),7000,18-Oct,2018-10-04,1,전통시장,종로구
1,통인시장,무(세척무 중),3000,18-Oct,2018-10-04,1,전통시장,종로구
1,통인시장,양파(1.5kg망),4000,18-Oct,2018-10-04,1,전통시장,종로구
1,통인시장,상추(100g),1000,18-Oct,2018-10-04,1,전통시장,종로구
1,통인시장,오이(다다기),700,18-Oct,2018-10-04,1,전통시장,종로구
1,통인시장,호박(인큐베이터),1000,18-Oct,2018-10-04,1,전통시장,종로구
1,통인시장,쇠고기(한우불고기),22000,18-Oct,2018-10-04,1,전통시장,종로구
1,통인시장,돼지고기(생삼겹살),15000,18-Oct,2018-10-04,1,전통시장,종로구
1,통인시장,닭고기(육계),5000,18-Oct,2018-10-04,1,전통시장,종로구
1,통인시장,달걀(10개),2000,18-Oct,2018-10-04,1,전통시장,종로구
1,통인시장,달걀(30개),5500,18-Oct,2018-10-04,1,전통시장,종로구
1,통인시장,조기(냉동수입산),5000,18-Oct,2018-10-04,1,전통시장,종로구
1,통인시장,명태(러시아냉동),3500,18-Oct,2018-10-04,1,전통시장,종로구
1,통인시장,오징어(생물국산),5000,18-Oct,2018-10-04,1,전통시장,종로구
1,통인시장,고등어(생물국산),5000,18-Oct,2018-10-04,1,전통시장,종로구
10,용문시장,사과(부사 300g),3250,18-Oct,2018-10-04,1,전통시장,용산구
10,용문시장,배(신고 600g),2800,18-Oct,2018-10-04,1,전통시장,용산구
10,용문시장,배추(중간),3200,18-Oct,2018-10-04,1,전통시장,용산구
10,용문시장,무(1kg),2800,18-Oct,2018-10-04,1,전통시장,용산구
10,용문시장,양파(1.5kg망),2200,18-Oct,2018-10-04,1,전통시장,용산구
10,용문시장,상추,1333,18-Oct,2018-10-04,1,전통시장,용산구
10,용문시장,오이(다다기),750,18-Oct,2018-10-04,1,전통시장,용산구
10,용문시장,애호박,2200,18-Oct,2018-10-04,1,전통시장,용산구
10,용문시장,쇠고기(한우불고기),28800,18-Oct,2018-10-04,1,전통시장,용산구
10,용문시장,돼지고기(삼겹살),13140,18-Oct,2018-10-04,1,전통시장,용산구
10,용문시장,닭고기(육계),6000,18-Oct,2018-10-04,1,전통시장,용산구
10,용문시장,달걀(10개),2900,18-Oct,2018-10-04,1,전통시장,용산구
10,용문시장,달걀(30개),6500,18-Oct,2018-10-04,1,전통시장,용산구
10,용문시장,조기(국산냉동),1250,18-Oct,2018-10-04,1,전통시장,용산구
10,용문시장,명태(러시아냉동),0,18-Oct,2018-10-04,1,전통시장,용산구
10,용문시장,오징어(냉동국산),2000,18-Oct,2018-10-04,1,전통시장,용산구
10,용문시장,고등어(생물국산),1500,18-Oct,2018-10-04,1,전통시장,용산구
11,남대문시장,사과(부사 300g),2000,18-Oct,2018-10-04,1,전통시장,중구
11,남대문시장,배(중품),3000,18-Oct,2018-10-04,1,전통시장,중구
11,남대문시장,배추(중간),4200,18-Oct,2018-10-04,1,전통시장,중구
11,남대문시장,무(세척무),2600,18-Oct,2018-10-04,1,전통시장,중구
11,남대문시장,양파(1.5kg망),2350,18-Oct,2018-10-04,1,전통시장,중구
11,남대문시장,상추(100g),1150,18-Oct,2018-10-04,1,전통시장,중구
11,남대문시장,오이(다다기),850,18-Oct,2018-10-04,1,전통시장,중구
11,남대문시장,호박(인큐베이터)중간,1050,18-Oct,2018-10-04,1,전통시장,중구
11,남대문시장,쇠고기(한우불고기),26500,18-Oct,2018-10-04,1,전통시장,중구
11,남대문시장,돼지고기(생삼겹살),12000,18-Oct,2018-10-04,1,전통시장,중구
11,남대문시장,닭고기,5000,18-Oct,2018-10-04,1,전통시장,중구
11,남대문시장,달걀(10개),2400,18-Oct,2018-10-04,1,전통시장,중구
11,남대문시장,달걀(30개),5150,18-Oct,2018-10-04,1,전통시장,중구
11,남대문시장,명태(러시아냉동),3800,18-Oct,2018-10-04,1,전통시장,중구
11,남대문시장,조기(냉동수입산),3400,18-Oct,2018-10-04,1,전통시장,중구
11,남대문시장,오징어,3900,18-Oct,2018-10-04,1,전통시장,중구
11,남대문시장,고등어,3000,18-Oct,2018-10-04,1,전통시장,중구
13,돈암제일시장,사과(부사 300g),1750,18-Oct,2018-10-04,1,전통시장,성북구
13,돈암제일시장,배(신고 600g),3000,18-Oct,2018-10-04,1,전통시장,성북구
13,돈암제일시장,배추(2.5~3kg),3000,18-Oct,2018-10-04,1,전통시장,성북구
13,돈암제일시장,무,2500,18-Oct,2018-10-04,1,전통시장,성북구
13,돈암제일시장,양파(1.5kg망),2500,18-Oct,2018-10-04,1,전통시장,성북구
13,돈암제일시장,상추(100g),833,18-Oct,2018-10-04,1,전통시장,성북구
13,돈암제일시장,오이(다다기),500,18-Oct,2018-10-04,1,전통시장,성북구
13,돈암제일시장,애호박,750,18-Oct,2018-10-04,1,전통시장,성북구
13,돈암제일시장,쇠고기(한우1등급),25000,18-Oct,2018-10-04,1,전통시장,성북구
13,돈암제일시장,돼지고기(삼겹살),15000,18-Oct,2018-10-04,1,전통시장,성북구
13,돈암제일시장,닭고기(육계),5000,18-Oct,2018-10-04,1,전통시장,성북구
13,돈암제일시장,달걀(10개),0,18-Oct,2018-10-04,1,전통시장,성북구
13,돈암제일시장,달걀(30개),5000,18-Oct,2018-10-04,1,전통시장,성북구
13,돈암제일시장,조기(국산생물),3333,18-Oct,2018-10-04,1,전통시장,성북구
13,돈암제일시장,명태(러시아냉동),4000,18-Oct,2018-10-04,1,전통시장,성북구
13,돈암제일시장,오징어(생물국산),7000,18-Oct,2018-10-04,1,전통시장,성북구
13,돈암제일시장,고등어(생물국산),5000,18-Oct,2018-10-04,1,전통시장,성북구
14,장위골목시장,사과(부사 300g),2000,18-Oct,2018-10-04,1,전통시장,성북구
14,장위골목시장,배(신고 600g),3000,18-Oct,2018-10-04,1,전통시장,성북구
14,장위골목시장,배추(2.5~3kg),2667,18-Oct,2018-10-04,1,전통시장,성북구
14,장위골목시장,무,2000,18-Oct,2018-10-04,1,전통시장,성북구
14,장위골목시장,양파(1.5kg망),2000,18-Oct,2018-10-04,1,전통시장,성북구
14,장위골목시장,상추,800,18-Oct,2018-10-04,1,전통시장,성북구
14,장위골목시장,오이(다다기),600,18-Oct,2018-10-04,1,전통시장,성북구
14,장위골목시장,애호박,800,18-Oct,2018-10-04,1,전통시장,성북구
14,장위골목시장,쇠고기(한우불고기),25900,18-Oct,2018-10-04,1,전통시장,성북구
14,장위골목시장,돼지고기(생삼겹살),15700,18-Oct,2018-10-04,1,전통시장,성북구
14,장위골목시장,닭고기(육계),5000,18-Oct,2018-10-04,1,전통시장,성북구
14,장위골목시장,달걀(10개),3400,18-Oct,2018-10-04,1,전통시장,성북구
14,장위골목시장,달걀(30개),5500,18-Oct,2018-10-04,1,전통시장,성북구
14,장위골목시장,조기(국산생물),2000,18-Oct,2018-10-04,1,전통시장,성북구
14,장위골목시장,명태(러시아냉동),3000,18-Oct,2018-10-04,1,전통시장,성북구
14,장위골목시장,오징어(생물국산),4500,18-Oct,2018-10-04,1,전통시장,성북구
14,장위골목시장,고등어(생물국산),3000,18-Oct,2018-10-04,1,전통시장,성북구
19,대림중앙시장,사과,714,18-Oct,2018-10-04,1,전통시장,영등포구
19,대림중앙시장,배(신고),1500,18-Oct,2018-10-04,1,전통시장,영등포구
19,대림중앙시장,배추,4000,18-Oct,2018-10-04,1,전통시장,영등포구
19,대림중앙시장,무(세척무),2000,18-Oct,2018-10-04,1,전통시장,영등포구
19,대림중앙시장,양파(작은망),2500,18-Oct,2018-10-04,1,전통시장,영등포구
19,대림중앙시장,상추,750,18-Oct,2018-10-04,1,전통시장,영등포구
19,대림중앙시장,오이(다다기),500,18-Oct,2018-10-04,1,전통시장,영등포구
19,대림중앙시장,애호박,1500,18-Oct,2018-10-04,1,전통시장,영등포구
19,대림중앙시장,쇠고기(한우불고기),33000,18-Oct,2018-10-04,1,전통시장,영등포구
19,대림중앙시장,돼지고기(생삼겹살),14400,18-Oct,2018-10-04,1,전통시장,영등포구
19,대림중앙시장,닭고기,6000,18-Oct,2018-10-04,1,전통시장,영등포구
19,대림중앙시장,달걀(10개),3000,18-Oct,2018-10-04,1,전통시장,영등포구
19,대림중앙시장,달걀(30개),4500,18-Oct,2018-10-04,1,전통시장,영등포구
19,대림중앙시장,조기,2500,18-Oct,2018-10-04,1,전통시장,영등포구
19,대림중앙시장,명태,3000,18-Oct,2018-10-04,1,전통시장,영등포구
19,대림중앙시장,오징어,3500,18-Oct,2018-10-04,1,전통시장,영등포구
19,대림중앙시장,고등어,2000,18-Oct,2018-10-04,1,전통시장,영등포구
20,영등포전통시장,사과,1000,18-Oct,2018-10-04,1,전통시장,영등포구
20,영등포전통시장,배(신고),1500,18-Oct,2018-10-04,1,전통시장,영등포구
20,영등포전통시장,배추,5000,18-Oct,2018-10-04,1,전통시장,영등포구
20,영등포전통시장,무,2000,18-Oct,2018-10-04,1,전통시장,영등포구
20,영등포전통시장,양파,3000,18-Oct,2018-10-04,1,전통시장,영등포구
20,영등포전통시장,상추,750,18-Oct,2018-10-04,1,전통시장,영등포구
20,영등포전통시장,오이(다다기),500,18-Oct,2018-10-04,1,전통시장,영등포구
20,영등포전통시장,애호박,2000,18-Oct,2018-10-04,1,전통시장,영등포구
20,영등포전통시장,쇠고기(한우불고기),30000,18-Oct,2018-10-04,1,전통시장,영등포구
20,영등포전통시장,돼지고기(생삼겹살),14000,18-Oct,2018-10-04,1,전통시장,영등포구
20,영등포전통시장,닭고기(육계),6000,18-Oct,2018-10-04,1,전통시장,영등포구
20,영등포전통시장,달걀(10개),3000,18-Oct,2018-10-04,1,전통시장,영등포구
20,영등포전통시장,달걀(30개),5000,18-Oct,2018-10-04,1,전통시장,영등포구
20,영등포전통시장,조기(생물수입산),3000,18-Oct,2018-10-04,1,전통시장,영등포구
20,영등포전통시장,명태(냉동수입산),2500,18-Oct,2018-10-04,1,전통시장,영등포구
20,영등포전통시장,오징어,4000,18-Oct,2018-10-04,1,전통시장,영등포구
20,영등포전통시장,고등어,2000,18-Oct,2018-10-04,1,전통시장,영등포구
25,방학동도깨비시장,사과(부사 300g),2000,18-Oct,2018-10-04,1,전통시장,도봉구
25,방학동도깨비시장,배(신고 600g),2500,18-Oct,2018-10-04,1,전통시장,도봉구
25,방학동도깨비시장,배추(2.5~3kg),3000,18-Oct,2018-10-04,1,전통시장,도봉구
25,방학동도깨비시장,무(1kg),3000,18-Oct,2018-10-04,1,전통시장,도봉구
25,방학동도깨비시장,양파(1.5kg망),2000,18-Oct,2018-10-04,1,전통시장,도봉구
25,방학동도깨비시장,상추(100g),1000,18-Oct,2018-10-04,1,전통시장,도봉구
25,방학동도깨비시장,오이(다다기),500,18-Oct,2018-10-04,1,전통시장,도봉구
25,방학동도깨비시장,애호박,750,18-Oct,2018-10-04,1,전통시장,도봉구
25,방학동도깨비시장,쇠고기(한우불고기),24798,18-Oct,2018-10-04,1,전통시장,도봉구
25,방학동도깨비시장,돼지고기(삼겹살),14800,18-Oct,2018-10-04,1,전통시장,도봉구
25,방학동도깨비시장,닭고기(육계),6000,18-Oct,2018-10-04,1,전통시장,도봉구
25,방학동도깨비시장,달걀(10개),2000,18-Oct,2018-10-04,1,전통시장,도봉구
25,방학동도깨비시장,달걀(30개),4500,18-Oct,2018-10-04,1,전통시장,도봉구
25,방학동도깨비시장,조기(냉동수입산),1250,18-Oct,2018-10-04,1,전통시장,도봉구
25,방학동도깨비시장,명태(러시아냉동),3000,18-Oct,2018-10-04,1,전통시장,도봉구
25,방학동도깨비시장,오징어(냉동국산),4000,18-Oct,2018-10-04,1,전통시장,도봉구
25,방학동도깨비시장,고등어(생물국산),2500,18-Oct,2018-10-04,1,전통시장,도봉구
26,신창시장,사과(부사 300g),2000,18-Oct,2018-10-04,1,전통시장,도봉구
26,신창시장,배(신고 600g),2000,18-Oct,2018-10-04,1,전통시장,도봉구
26,신창시장,배추(2.5~3kg),2667,18-Oct,2018-10-04,1,전통시장,도봉구
26,신창시장,무(세척무),3000,18-Oct,2018-10-04,1,전통시장,도봉구
26,신창시장,양파(1.5kg망),2000,18-Oct,2018-10-04,1,전통시장,도봉구
26,신창시장,상추(100g),1000,18-Oct,2018-10-04,1,전통시장,도봉구
26,신창시장,오이(다다기),500,18-Oct,2018-10-04,1,전통시장,도봉구
26,신창시장,호박(인큐베이터),1000,18-Oct,2018-10-04,1,전통시장,도봉구
26,신창시장,쇠고기(한우불고기),24000,18-Oct,2018-10-04,1,전통시장,도봉구
26,신창시장,돼지고기(삼겹살),13800,18-Oct,2018-10-04,1,전통시장,도봉구
26,신창시장,닭고기(육계),6000,18-Oct,2018-10-04,1,전통시장,도봉구
26,신창시장,달걀(10개),2000,18-Oct,2018-10-04,1,전통시장,도봉구
26,신창시장,달걀(30개),4500,18-Oct,2018-10-04,1,전통시장,도봉구
26,신창시장,조기(냉동수입산),1429,18-Oct,2018-10-04,1,전통시장,도봉구
26,신창시장,명태(러시아냉동),3000,18-Oct,2018-10-04,1,전통시장,도봉구
26,신창시장,오징어(냉동국산),4000,18-Oct,2018-10-04,1,전통시장,도봉구
26,신창시장,고등어(생물국산),2500,18-Oct,2018-10-04,1,전통시장,도봉구
31,인왕시장,사과(부사 300g),2000,18-Oct,2018-10-04,1,전통시장,서대문구
31,인왕시장,배(신고 600g),2500,18-Oct,2018-10-04,1,전통시장,서대문구
31,인왕시장,배추(2.5~3kg),4000,18-Oct,2018-10-04,1,전통시장,서대문구
31,인왕시장,무(1kg),2500,18-Oct,2018-10-04,1,전통시장,서대문구
31,인왕시장,양파(1.5kg망),3000,18-Oct,2018-10-04,1,전통시장,서대문구
31,인왕시장,상추(100g),1000,18-Oct,2018-10-04,1,전통시장,서대문구
31,인왕시장,오이(다다기),500,18-Oct,2018-10-04,1,전통시장,서대문구
31,인왕시장,호박,1000,18-Oct,2018-10-04,1,전통시장,서대문구
31,인왕시장,쇠고기(한우불고기),27960,18-Oct,2018-10-04,1,전통시장,서대문구
31,인왕시장,돼지고기(삼겹살),12000,18-Oct,2018-10-04,1,전통시장,서대문구
31,인왕시장,닭고기(육계),55000,18-Oct,2018-10-04,1,전통시장,서대문구
31,인왕시장,달걀(10개),4500,18-Oct,2018-10-04,1,전통시장,서대문구
31,인왕시장,달걀(30개),6000,18-Oct,2018-10-04,1,전통시장,서대문구
31,인왕시장,조기(냉동수입산),3000,18-Oct,2018-10-04,1,전통시장,서대문구
31,인왕시장,명태(러시아냉동),2000,18-Oct,2018-10-04,1,전통시장,서대문구
31,인왕시장,오징어(생물국산),5000,18-Oct,2018-10-04,1,전통시장,서대문구
31,인왕시장,고등어(생물국산),3000,18-Oct,2018-10-04,1,전통시장,서대문구
32,영천시장,사과(부사 300g),2500,18-Oct,2018-10-04,1,전통시장,서대문구
32,영천시장,배(신고 600g),3333,18-Oct,2018-10-04,1,전통시장,서대문구
32,영천시장,배추(2.5~3kg),2667,18-Oct,2018-10-04,1,전통시장,서대문구
32,영천시장,무(1kg),2500,18-Oct,2018-10-04,1,전통시장,서대문구
32,영천시장,양파(1.5kg망),2500,18-Oct,2018-10-04,1,전통시장,서대문구
32,영천시장,상추,650,18-Oct,2018-10-04,1,전통시장,서대문구
32,영천시장,오이(다다기),700,18-Oct,2018-10-04,1,전통시장,서대문구
32,영천시장,애호박,1000,18-Oct,2018-10-04,1,전통시장,서대문구
32,영천시장,쇠고기(한우불고기),24000,18-Oct,2018-10-04,1,전통시장,서대문구
32,영천시장,돼지고기(삼겹살),12000,18-Oct,2018-10-04,1,전통시장,서대문구
32,영천시장,닭고기(토종닭),7000,18-Oct,2018-10-04,1,전통시장,서대문구
32,영천시장,달걀(10개),2850,18-Oct,2018-10-04,1,전통시장,서대문구
32,영천시장,달걀(30개),4980,18-Oct,2018-10-04,1,전통시장,서대문구
32,영천시장,조기(냉동수입산),3000,18-Oct,2018-10-04,1,전통시장,서대문구
32,영천시장,명태(러시아냉동),3000,18-Oct,2018-10-04,1,전통시장,서대문구
32,영천시장,오징어(생물국산),5000,18-Oct,2018-10-04,1,전통시장,서대문구
32,영천시장,고등어(생물국산),3000,18-Oct,2018-10-04,1,전통시장,서대문구
38,송화시장,사과,1429,18-Oct,2018-10-04,1,전통시장,강서구
38,송화시장,배(신고),3000,18-Oct,2018-10-04,1,전통시장,강서구
38,송화시장,배추(2.5~3kg),4000,18-Oct,2018-10-04,1,전통시장,강서구
38,송화시장,무(1kg),3000,18-Oct,2018-10-04,1,전통시장,강서구
38,송화시장,양파(1.5kg망),2000,18-Oct,2018-10-04,1,전통시장,강서구
38,송화시장,상추(100g),1000,18-Oct,2018-10-04,1,전통시장,강서구
38,송화시장,오이(다다기),700,18-Oct,2018-10-04,1,전통시장,강서구
38,송화시장,호박(인큐베이터),1500,18-Oct,2018-10-04,1,전통시장,강서구
38,송화시장,쇠고기(한우불고기),29000,18-Oct,2018-10-04,1,전통시장,강서구
38,송화시장,돼지고기(생삼겹살),13800,18-Oct,2018-10-04,1,전통시장,강서구
38,송화시장,닭고기(육계),6000,18-Oct,2018-10-04,1,전통시장,강서구
38,송화시장,달걀(10개),2000,18-Oct,2018-10-04,1,전통시장,강서구
38,송화시장,달걀(30개),6000,18-Oct,2018-10-04,1,전통시장,강서구
38,송화시장,조기(냉동수입산),3000,18-Oct,2018-10-04,1,전통시장,강서구
38,송화시장,명태(러시아냉동),3000,18-Oct,2018-10-04,1,전통시장,강서구
38,송화시장,오징어(냉동국산),4000,18-Oct,2018-10-04,1,전통시장,강서구
38,송화시장,고등어(생물국산),3000,18-Oct,2018-10-04,1,전통시장,강서구
49,대림시장,사과(부사 300g),1500,18-Oct,2018-10-04,1,전통시장,은평구
49,대림시장,배,2000,18-Oct,2018-10-04,1,전통시장,은평구
49,대림시장,배추,3000,18-Oct,2018-10-04,1,전통시장,은평구
49,대림시장,무,2000,18-Oct,2018-10-04,1,전통시장,은평구
49,대림시장,양파(1.5kg망),2500,18-Oct,2018-10-04,1,전통시장,은평구
49,대림시장,상추(100g),1000,18-Oct,2018-10-04,1,전통시장,은평구
49,대림시장,오이,500,18-Oct,2018-10-04,1,전통시장,은평구
49,대림시장,호박(인큐베이터),1500,18-Oct,2018-10-04,1,전통시장,은평구
49,대림시장,쇠고기(한우불고기),21000,18-Oct,2018-10-04,1,전통시장,은평구
49,대림시장,돼지고기(삼겹살),13800,18-Oct,2018-10-04,1,전통시장,은평구
49,대림시장,닭고기(육계),5500,18-Oct,2018-10-04,1,전통시장,은평구
49,대림시장,달걀(10개),1830,18-Oct,2018-10-04,1,전통시장,은평구
49,대림시장,달걀(30개),5500,18-Oct,2018-10-04,1,전통시장,은평구
49,대림시장,조기(냉동수입산),2500,18-Oct,2018-10-04,1,전통시장,은평구
49,대림시장,명태(러시아냉동),4000,18-Oct,2018-10-04,1,전통시장,은평구
49,대림시장,오징어(냉동국산),4000,18-Oct,2018-10-04,1,전통시장,은평구
49,대림시장,고등어(생물국산),3000,18-Oct,2018-10-04,1,전통시장,은평구
55,광장시장,사과(부사 300g),3000,18-Oct,2018-10-04,1,전통시장,종로구
55,광장시장,배(신고 600g),4000,18-Oct,2018-10-04,1,전통시장,종로구
55,광장시장,배추(2.5~3kg),6000,18-Oct,2018-10-04,1,전통시장,종로구
55,광장시장,무(세척무 중),3000,18-Oct,2018-10-04,1,전통시장,종로구
55,광장시장,양파(1.5kg망),4000,18-Oct,2018-10-04,1,전통시장,종로구
55,광장시장,상추(100g),1000,18-Oct,2018-10-04,1,전통시장,종로구
55,광장시장,오이(다다기),700,18-Oct,2018-10-04,1,전통시장,종로구
55,광장시장,호박(인큐베이터),1500,18-Oct,2018-10-04,1,전통시장,종로구
55,광장시장,쇠고기(한우불고기),30000,18-Oct,2018-10-04,1,전통시장,종로구
55,광장시장,돼지고기(생삼겹살),13000,18-Oct,2018-10-04,1,전통시장,종로구
55,광장시장,닭고기(육계),6000,18-Oct,2018-10-04,1,전통시장,종로구
55,광장시장,달걀(10개),2000,18-Oct,2018-10-04,1,전통시장,종로구
55,광장시장,달걀(30개),5000,18-Oct,2018-10-04,1,전통시장,종로구
55,광장시장,조기(냉동수입산),5000,18-Oct,2018-10-04,1,전통시장,종로구
55,광장시장,명태(생물수입산),6000,18-Oct,2018-10-04,1,전통시장,종로구
55,광장시장,오징어(생물국산),5000,18-Oct,2018-10-04,1,전통시장,종로구
55,광장시장,고등어(생물국산),5000,18-Oct,2018-10-04,1,전통시장,종로구
62,후암시장,사과(부사)중급(대),1500,18-Oct,2018-10-04,1,전통시장,용산구
62,후암시장,배(중품)신고,2500,18-Oct,2018-10-04,1,전통시장,용산구
62,후암시장,배추(2.5~3kg),5000,18-Oct,2018-10-04,1,전통시장,용산구
62,후암시장,무(1kg),3000,18-Oct,2018-10-04,1,전통시장,용산구
62,후암시장,양파(1.5kg망),3000,18-Oct,2018-10-04,1,전통시장,용산구
62,후암시장,상추(100g),1500,18-Oct,2018-10-04,1,전통시장,용산구
62,후암시장,오이(다다기),600,18-Oct,2018-10-04,1,전통시장,용산구
62,후암시장,애호박,1400,18-Oct,2018-10-04,1,전통시장,용산구
62,후암시장,쇠고기(한우1등급),27000,18-Oct,2018-10-04,1,전통시장,용산구
62,후암시장,돼지고기(생삼겹살),13800,18-Oct,2018-10-04,1,전통시장,용산구
62,후암시장,닭고기(육계),5000,18-Oct,2018-10-04,1,전통시장,용산구
62,후암시장,달걀(10개),2500,18-Oct,2018-10-04,1,전통시장,용산구
62,후암시장,달걀(30개),5000,18-Oct,2018-10-04,1,전통시장,용산구
62,후암시장,조기(국산생물),833,18-Oct,2018-10-04,1,전통시장,용산구
62,후암시장,명태(러시아냉동),3500,18-Oct,2018-10-04,1,전통시장,용산구
62,후암시장,오징어(냉동국산),4000,18-Oct,2018-10-04,1,전통시장,용산구
62,후암시장,고등어(생물국산),1200,18-Oct,2018-10-04,1,전통시장,용산구
66,수유재래시장,사과(부사 300g),3000,18-Oct,2018-10-04,1,전통시장,강북구
66,수유재래시장,배(신고 600g),3000,18-Oct,2018-10-04,1,전통시장,강북구
66,수유재래시장,배추(2.5~3kg),5000,18-Oct,2018-10-04,1,전통시장,강북구
66,수유재래시장,무(1kg),1500,18-Oct,2018-10-04,1,전통시장,강북구
66,수유재래시장,양파(1.5kg망),2500,18-Oct,2018-10-04,1,전통시장,강북구
66,수유재래시장,상추(100g),1500,18-Oct,2018-10-04,1,전통시장,강북구
66,수유재래시장,오이(다다기),670,18-Oct,2018-10-04,1,전통시장,강북구
66,수유재래시장,애호박,1500,18-Oct,2018-10-04,1,전통시장,강북구
66,수유재래시장,쇠고기(한우2등급),21000,18-Oct,2018-10-04,1,전통시장,강북구
66,수유재래시장,돼지고기(생삼겹살),12900,18-Oct,2018-10-04,1,전통시장,강북구
66,수유재래시장,닭고기,5500,18-Oct,2018-10-04,1,전통시장,강북구
66,수유재래시장,달걀(10개),2000,18-Oct,2018-10-04,1,전통시장,강북구
66,수유재래시장,달걀(30개),6000,18-Oct,2018-10-04,1,전통시장,강북구
66,수유재래시장,조기(냉동수입산),4000,18-Oct,2018-10-04,1,전통시장,강북구
66,수유재래시장,명태(러시아냉동),5000,18-Oct,2018-10-04,1,전통시장,강북구
66,수유재래시장,오징어(냉동국산),4000,18-Oct,2018-10-04,1,전통시장,강북구
66,수유재래시장,고등어(생물국산),3500,18-Oct,2018-10-04,1,전통시장,강북구
72,금남시장,사과,2000,18-Oct,2018-10-04,1,전통시장,성동구
72,금남시장,배(신고 600g),3000,18-Oct,2018-10-04,1,전통시장,성동구
72,금남시장,배추(2.5~3kg),6000,18-Oct,2018-10-04,1,전통시장,성동구
72,금남시장,무,3500,18-Oct,2018-10-04,1,전통시장,성동구
72,금남시장,양파(1.5kg망),2500,18-Oct,2018-10-04,1,전통시장,성동구
72,금남시장,상추,1500,18-Oct,2018-10-04,1,전통시장,성동구
72,금남시장,오이(다다기),900,18-Oct,2018-10-04,1,전통시장,성동구
72,금남시장,호박(인큐베이터),1400,18-Oct,2018-10-04,1,전통시장,성동구
72,금남시장,쇠고기(한우1등급),27000,18-Oct,2018-10-04,1,전통시장,성동구
72,금남시장,돼지고기(생삼겹살),15000,18-Oct,2018-10-04,1,전통시장,성동구
72,금남시장,닭고기,5500,18-Oct,2018-10-04,1,전통시장,성동구
72,금남시장,달걀(10개),2500,18-Oct,2018-10-04,1,전통시장,성동구
72,금남시장,달걀(30개),6500,18-Oct,2018-10-04,1,전통시장,성동구
72,금남시장,조기(국산냉동),1700,18-Oct,2018-10-04,1,전통시장,성동구
72,금남시장,명태(냉동수입산),3500,18-Oct,2018-10-04,1,전통시장,성동구
72,금남시장,오징어(냉동국산),5000,18-Oct,2018-10-04,1,전통시장,성동구
72,금남시장,고등어(생물국산),3500,18-Oct,2018-10-04,1,전통시장,성동구
